epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,714.373,1.08204,1.6486,1.44823,0.58701,0.97561,0.93789,0.68812,0.88045,2.96313,1.27347,0.00016,0.00016,0.00016
2,1572.29,1.10919,1.28745,1.51103,0.63388,0.34146,0.41782,0.22762,1.55859,1.99384,1.98928,0.000333268,0.000333268,0.000333268
3,2200.28,1.16297,1.37553,1.49119,0.19602,0.7561,0.61836,0.30857,1.67784,15.8161,2.73529,0.000499408,0.000499408,0.000499408
4,2766.94,1.09286,1.15419,1.39563,0.31301,0.36585,0.23745,0.10238,2.41181,5.43141,4.44769,0.00065842,0.00065842,0.00065842
5,3304.26,1.24628,1.2244,1.52888,0.04938,0.19512,0.06018,0.00934,3.01481,256.485,6.21697,0.000810304,0.000810304,0.000810304
6,3876.43,1.35309,1.49244,1.6151,0.00102,0.21951,0.00057,0.00012,4.03339,25390.5,97.6907,0.00095506,0.00095506,0.00095506
7,4388.76,1.2878,1.34115,1.55917,0.00222,0.19512,0.00112,0.00015,5.24022,3863.14,146.853,0.00109269,0.00109269,0.00109269
8,4952.97,1.2823,1.39806,1.53648,0.00375,0.53659,0.00412,0.00099,3.64772,3084.7,56.8211,0.00122319,0.00122319,0.00122319
9,5516.09,1.28739,1.37902,1.57261,0.01234,0.80488,0.0119,0.00517,1.98587,1156.09,8.2425,0.00134656,0.00134656,0.00134656
10,6072.34,1.35832,1.38859,1.55473,0.01292,0.68293,0.01252,0.0043,2.97938,2855.03,81.42,0.0014628,0.0014628,0.0014628
11,6619.85,1.33906,1.29423,1.55954,0.02589,0.92683,0.02747,0.00736,2.65257,886.645,31.3907,0.00157192,0.00157192,0.00157192
12,7104.45,1.28946,1.28457,1.53322,0.17544,0.2439,0.08832,0.04435,2.006,80.8267,3.15979,0.0015644,0.0015644,0.0015644
13,7610.2,1.32107,1.29615,1.56658,0.08214,0.65854,0.1422,0.04547,2.20759,42.2955,4.98599,0.0015248,0.0015248,0.0015248
